select_by;duration [s];duration [min];duration;it;loss;time;experiment_folder;training_name;training_folder;mean_var;var;ssim;psnr;ap;slice;log_it;log_loss;log_time;log_var;log_ssim;log_psnr;log_ap
loss;260.9747095108032;4.34957849184672;0h 4m 20.97s;205;0.0265918131917715;170.15248322486875;stDIP/slice_1_8_nbins30/select_by/;select_by=loss;stDIP/slice_1_8_nbins30/select_by/select_by=loss/;;;;;;1;[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500];[0.057600051164627075, 0.042663320899009705, 0.04878033697605133, 0.046838920563459396, 0.09057077765464783, 0.07049394398927689, 0.045983485877513885, 0.04481455311179161, 0.0482122078537941, 0.05134130269289017, 0.06803736090660095, 0.04229596257209778, 0.04122627526521683, 0.05584793537855148, 0.056037623435258865, 0.05725109949707985, 0.03641609475016594, 0.03373520448803902, 0.04773659259080887, 0.030375029891729355, 0.039038825780153275, 0.029922083020210266, 0.03975943848490715, 0.04021380841732025, 0.07104680687189102, 0.043585143983364105];[60.87818908691406, 110.68280267715454, 117.52044916152954, 124.30716371536255, 130.46319675445557, 136.9806501865387, 141.87650442123413, 148.28451538085938, 154.67548489570618, 161.8357651233673, 168.52392768859863, 175.307861328125, 181.8197877407074, 188.55315232276917, 195.1023166179657, 201.5387899875641, 207.57715511322021, 214.6599040031433, 220.87453484535217, 227.45281791687012, 233.44560194015503, 238.70273232460022, 243.41172456741333, 248.15772247314453, 253.9043481349945, 260.97206950187683];;;;
mean_var;341.6289966106415;5.693816610177358;0h 5m 41.63s;340;;262.0077567100525;stDIP/slice_1_8_nbins30/select_by/;select_by=mean_var;stDIP/slice_1_8_nbins30/select_by/select_by=mean_var/;0.0120925474911928;0.0141080729663372;0.6583147048950195;19.941940307617188;0.590471625328064;1;[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460];[0.04788403585553169, 0.04906412959098816, 0.10035806894302368, 0.07777527719736099, 0.049491122364997864, 0.042975153774023056, 0.05230633169412613, 0.050814513117074966, 0.06264857947826385, 0.04298490658402443, 0.0446743443608284, 0.057397253811359406, 0.05139856040477753, 0.05864395946264267, 0.03805918246507645, 0.03320855274796486, 0.04703102260828018, 0.028841791674494743, 0.04010195657610893, 0.02984226867556572, 0.037873774766922, 0.04028027877211571];[121.73363304138184, 130.99048733711243, 140.8283772468567, 150.90501284599304, 160.43541741371155, 170.08288478851318, 179.9843339920044, 189.937819480896, 199.9543662071228, 209.50047540664673, 217.88775253295898, 225.30993103981018, 232.5997772216797, 241.08167600631714, 251.56612253189087, 262.0077567100525, 271.6205506324768, 280.65097284317017, 290.40629386901855, 299.3943884372711, 308.9428527355194, 318.05446672439575];[0.013918592594563961, 0.016629658639431, 0.02450915053486824, 0.015285346657037735, 0.0249935332685709, 0.020106105133891106, 0.025291496887803078, 0.028742214664816856, 0.016794554889202118, 0.020428532734513283, 0.020812738686800003, 0.02592518925666809, 0.017302419990301132, 0.01837177388370037, 0.012843740172684193, 0.014108072966337204, 0.017646705731749535, 0.010946916416287422, 0.009490077383816242, 0.011904592625796795, 0.021135840564966202, 0.026120606809854507];[0.3197330832481384, 0.44242799282073975, 0.21045257151126862, 0.37607237696647644, 0.2955203354358673, 0.4073164463043213, 0.36722177267074585, 0.35573357343673706, 0.47083044052124023, 0.43073922395706177, 0.32976585626602173, 0.3713538646697998, 0.5482667684555054, 0.47593924403190613, 0.6407304406166077, 0.6583147048950195, 0.5516051054000854, 0.7390073537826538, 0.748116672039032, 0.7509568333625793, 0.5522171258926392, 0.32347434759140015];[14.965788841247559, 16.895343780517578, 13.60851001739502, 16.099822998046875, 14.550384521484375, 16.608394622802734, 14.376688957214355, 14.519329071044922, 16.584495544433594, 16.62744903564453, 15.756770133972168, 15.391095161437988, 17.68824005126953, 17.20658302307129, 19.89427947998047, 19.941940307617188, 17.5165958404541, 22.30435562133789, 23.02167510986328, 22.302148818969727, 17.129568099975586, 13.769572257995605];[1.857011318206787, 1.1908555030822754, 2.538297414779663, 1.4302470684051514, 2.043407678604126, 1.2721956968307495, 2.1267893314361572, 2.0580716133117676, 1.279215693473816, 1.266626000404358, 1.5478055477142334, 1.683774471282959, 0.9921317100524902, 1.1084983348846436, 0.5969874858856201, 0.590471625328064, 1.0321285724639893, 0.34273406863212585, 0.29055285453796387, 0.3429083526134491, 1.1283310651779175, 2.4458861351013184]
loss;260.9747095108032;4.34957849184672;0h 4m 20.97s;205;0.0265918131917715;170.15248322486875;stDIP/slice_2_8_nbins30/select_by/;select_by=loss;stDIP/slice_2_8_nbins30/select_by/select_by=loss/;;;;;;2;[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500];[0.057600051164627075, 0.042663320899009705, 0.04878033697605133, 0.046838920563459396, 0.09057077765464783, 0.07049394398927689, 0.045983485877513885, 0.04481455311179161, 0.0482122078537941, 0.05134130269289017, 0.06803736090660095, 0.04229596257209778, 0.04122627526521683, 0.05584793537855148, 0.056037623435258865, 0.05725109949707985, 0.03641609475016594, 0.03373520448803902, 0.04773659259080887, 0.030375029891729355, 0.039038825780153275, 0.029922083020210266, 0.03975943848490715, 0.04021380841732025, 0.07104680687189102, 0.043585143983364105];[60.87818908691406, 110.68280267715454, 117.52044916152954, 124.30716371536255, 130.46319675445557, 136.9806501865387, 141.87650442123413, 148.28451538085938, 154.67548489570618, 161.8357651233673, 168.52392768859863, 175.307861328125, 181.8197877407074, 188.55315232276917, 195.1023166179657, 201.5387899875641, 207.57715511322021, 214.6599040031433, 220.87453484535217, 227.45281791687012, 233.44560194015503, 238.70273232460022, 243.41172456741333, 248.15772247314453, 253.9043481349945, 260.97206950187683];;;;
mean_var;341.6289966106415;5.693816610177358;0h 5m 41.63s;340;;262.0077567100525;stDIP/slice_2_8_nbins30/select_by/;select_by=mean_var;stDIP/slice_2_8_nbins30/select_by/select_by=mean_var/;0.0120925474911928;0.0144310798496007;0.7387933135032654;20.988744735717773;0.4103137254714966;2;[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460];[0.04788403585553169, 0.04906412959098816, 0.10035806894302368, 0.07777527719736099, 0.049491122364997864, 0.042975153774023056, 0.05230633169412613, 0.050814513117074966, 0.06264857947826385, 0.04298490658402443, 0.0446743443608284, 0.057397253811359406, 0.05139856040477753, 0.05864395946264267, 0.03805918246507645, 0.03320855274796486, 0.04703102260828018, 0.028841791674494743, 0.04010195657610893, 0.02984226867556572, 0.037873774766922, 0.04028027877211571];[121.73363304138184, 130.99048733711243, 140.8283772468567, 150.90501284599304, 160.43541741371155, 170.08288478851318, 179.9843339920044, 189.937819480896, 199.9543662071228, 209.50047540664673, 217.88775253295898, 225.30993103981018, 232.5997772216797, 241.08167600631714, 251.56612253189087, 262.0077567100525, 271.6205506324768, 280.65097284317017, 290.40629386901855, 299.3943884372711, 308.9428527355194, 318.05446672439575];[0.013804581016302109, 0.016714848577976227, 0.02445218898355961, 0.015117905102670193, 0.024755850434303284, 0.01997576653957367, 0.025210242718458176, 0.028938498347997665, 0.016748685389757156, 0.020348288118839264, 0.02032783254981041, 0.026134632527828217, 0.019154559820890427, 0.018625840544700623, 0.012766225263476372, 0.014431079849600792, 0.017506064847111702, 0.009973017498850822, 0.009850231930613518, 0.011566076427698135, 0.02231742814183235, 0.027177296578884125];[0.36864590644836426, 0.5079596638679504, 0.339794784784317, 0.46141672134399414, 0.4172309339046478, 0.5782085061073303, 0.45650461316108704, 0.4631703794002533, 0.5711525678634644, 0.5816617012023926, 0.5246173143386841, 0.5256155133247375, 0.6289026141166687, 0.6187662482261658, 0.7524866461753845, 0.7387933135032654, 0.5933337807655334, 0.8471958637237549, 0.8409411311149597, 0.8298242092132568, 0.6321654915809631, 0.37919729948043823];[15.218467712402344, 17.34201431274414, 14.466652870178223, 16.743968963623047, 15.41027545928955, 18.062843322753906, 15.088401794433594, 15.3118896484375, 17.475261688232422, 18.00019645690918, 17.32996940612793, 16.604406356811523, 18.16064453125, 18.49530029296875, 21.52066421508789, 20.988744735717773, 18.0188045501709, 24.732425689697266, 24.6713809967041, 23.899049758911133, 18.01250457763672, 14.182028770446777];[1.5493301153182983, 0.9501434564590454, 1.8421519994735718, 1.0904197692871094, 1.48239266872406, 0.8048339486122131, 1.5964325666427612, 1.516358494758606, 0.921434223651886, 0.8165279030799866, 0.952782392501831, 1.1260305643081665, 0.7869120836257935, 0.7285521626472473, 0.3630145490169525, 0.4103137254714966, 0.8130367398262024, 0.17327940464019775, 0.17573228478431702, 0.2099350392818451, 0.8142170310020447, 1.9669253826141357]
loss;260.9747095108032;4.34957849184672;0h 4m 20.97s;205;0.0265918131917715;170.15248322486875;stDIP/slice_3_8_nbins30/select_by/;select_by=loss;stDIP/slice_3_8_nbins30/select_by/select_by=loss/;;;;;;3;[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500];[0.057600051164627075, 0.042663320899009705, 0.04878033697605133, 0.046838920563459396, 0.09057077765464783, 0.07049394398927689, 0.045983485877513885, 0.04481455311179161, 0.0482122078537941, 0.05134130269289017, 0.06803736090660095, 0.04229596257209778, 0.04122627526521683, 0.05584793537855148, 0.056037623435258865, 0.05725109949707985, 0.03641609475016594, 0.03373520448803902, 0.04773659259080887, 0.030375029891729355, 0.039038825780153275, 0.029922083020210266, 0.03975943848490715, 0.04021380841732025, 0.07104680687189102, 0.043585143983364105];[60.87818908691406, 110.68280267715454, 117.52044916152954, 124.30716371536255, 130.46319675445557, 136.9806501865387, 141.87650442123413, 148.28451538085938, 154.67548489570618, 161.8357651233673, 168.52392768859863, 175.307861328125, 181.8197877407074, 188.55315232276917, 195.1023166179657, 201.5387899875641, 207.57715511322021, 214.6599040031433, 220.87453484535217, 227.45281791687012, 233.44560194015503, 238.70273232460022, 243.41172456741333, 248.15772247314453, 253.9043481349945, 260.97206950187683];;;;
mean_var;341.6289966106415;5.693816610177358;0h 5m 41.63s;340;;262.0077567100525;stDIP/slice_3_8_nbins30/select_by/;select_by=mean_var;stDIP/slice_3_8_nbins30/select_by/select_by=mean_var/;0.0120925474911928;0.0166418384760618;0.8058435916900635;21.41142463684082;0.2473929077386856;3;[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460];[0.04788403585553169, 0.04906412959098816, 0.10035806894302368, 0.07777527719736099, 0.049491122364997864, 0.042975153774023056, 0.05230633169412613, 0.050814513117074966, 0.06264857947826385, 0.04298490658402443, 0.0446743443608284, 0.057397253811359406, 0.05139856040477753, 0.05864395946264267, 0.03805918246507645, 0.03320855274796486, 0.04703102260828018, 0.028841791674494743, 0.04010195657610893, 0.02984226867556572, 0.037873774766922, 0.04028027877211571];[121.73363304138184, 130.99048733711243, 140.8283772468567, 150.90501284599304, 160.43541741371155, 170.08288478851318, 179.9843339920044, 189.937819480896, 199.9543662071228, 209.50047540664673, 217.88775253295898, 225.30993103981018, 232.5997772216797, 241.08167600631714, 251.56612253189087, 262.0077567100525, 271.6205506324768, 280.65097284317017, 290.40629386901855, 299.3943884372711, 308.9428527355194, 318.05446672439575];[0.013528031297028065, 0.01688208617269993, 0.024180106818675995, 0.014647447504103184, 0.024154067039489746, 0.019608959555625916, 0.02567330002784729, 0.031371988356113434, 0.016964297741651535, 0.019127709791064262, 0.019220568239688873, 0.024213094264268875, 0.017550844699144363, 0.020435824990272522, 0.017974339425563812, 0.01664183847606182, 0.017050117254257202, 0.015971021726727486, 0.014858702197670937, 0.015376608818769455, 0.01441280823200941, 0.015716515481472015];[0.40078210830688477, 0.550500750541687, 0.5290194153785706, 0.5363182425498962, 0.5397807359695435, 0.7272046804428101, 0.5449775457382202, 0.5921071171760559, 0.6753793954849243, 0.7565758228302002, 0.7539463639259338, 0.7084701657295227, 0.7531181573867798, 0.760305643081665, 0.810077965259552, 0.8058435916900635, 0.6468638777732849, 0.8342154622077942, 0.8238179683685303, 0.8812028765678406, 0.8710110783576965, 0.6321449279785156];[15.061562538146973, 17.225048065185547, 15.8922700881958, 17.210655212402344, 16.294740676879883, 19.623815536499023, 15.815951347351074, 16.11114501953125, 18.453847885131836, 20.2680606842041, 20.04279136657715, 18.751081466674805, 20.120580673217773, 20.064773559570312, 21.331443786621094, 21.41142463684082, 18.584840774536133, 22.438434600830078, 22.41667938232422, 24.012191772460938, 23.699718475341797, 18.571199417114258];[1.0675150156021118, 0.6486720442771912, 0.8816640377044678, 0.650825560092926, 0.8036298751831055, 0.37337759137153625, 0.8972947001457214, 0.8383311629295349, 0.4888158142566681, 0.3219021260738373, 0.33903974294662476, 0.45647990703582764, 0.3330211341381073, 0.33732807636260986, 0.25199124217033386, 0.2473929077386856, 0.47429218888282776, 0.19529268145561218, 0.19627347588539124, 0.13592836260795593, 0.1460687518119812, 0.47578415274620056]
loss;260.9747095108032;4.34957849184672;0h 4m 20.97s;205;0.0265918131917715;170.15248322486875;stDIP/slice_4_8_nbins30/select_by/;select_by=loss;stDIP/slice_4_8_nbins30/select_by/select_by=loss/;;;;;;4;[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500];[0.057600051164627075, 0.042663320899009705, 0.04878033697605133, 0.046838920563459396, 0.09057077765464783, 0.07049394398927689, 0.045983485877513885, 0.04481455311179161, 0.0482122078537941, 0.05134130269289017, 0.06803736090660095, 0.04229596257209778, 0.04122627526521683, 0.05584793537855148, 0.056037623435258865, 0.05725109949707985, 0.03641609475016594, 0.03373520448803902, 0.04773659259080887, 0.030375029891729355, 0.039038825780153275, 0.029922083020210266, 0.03975943848490715, 0.04021380841732025, 0.07104680687189102, 0.043585143983364105];[60.87818908691406, 110.68280267715454, 117.52044916152954, 124.30716371536255, 130.46319675445557, 136.9806501865387, 141.87650442123413, 148.28451538085938, 154.67548489570618, 161.8357651233673, 168.52392768859863, 175.307861328125, 181.8197877407074, 188.55315232276917, 195.1023166179657, 201.5387899875641, 207.57715511322021, 214.6599040031433, 220.87453484535217, 227.45281791687012, 233.44560194015503, 238.70273232460022, 243.41172456741333, 248.15772247314453, 253.9043481349945, 260.97206950187683];;;;
mean_var;341.6289966106415;5.693816610177358;0h 5m 41.63s;340;;262.0077567100525;stDIP/slice_4_8_nbins30/select_by/;select_by=mean_var;stDIP/slice_4_8_nbins30/select_by/select_by=mean_var/;0.0120925474911928;0.0115638375282287;0.828919529914856;23.004011154174805;0.1875635832548141;4;[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460];[0.04788403585553169, 0.04906412959098816, 0.10035806894302368, 0.07777527719736099, 0.049491122364997864, 0.042975153774023056, 0.05230633169412613, 0.050814513117074966, 0.06264857947826385, 0.04298490658402443, 0.0446743443608284, 0.057397253811359406, 0.05139856040477753, 0.05864395946264267, 0.03805918246507645, 0.03320855274796486, 0.04703102260828018, 0.028841791674494743, 0.04010195657610893, 0.02984226867556572, 0.037873774766922, 0.04028027877211571];[121.73363304138184, 130.99048733711243, 140.8283772468567, 150.90501284599304, 160.43541741371155, 170.08288478851318, 179.9843339920044, 189.937819480896, 199.9543662071228, 209.50047540664673, 217.88775253295898, 225.30993103981018, 232.5997772216797, 241.08167600631714, 251.56612253189087, 262.0077567100525, 271.6205506324768, 280.65097284317017, 290.40629386901855, 299.3943884372711, 308.9428527355194, 318.05446672439575];[0.01309390738606453, 0.016148382797837257, 0.023425452411174774, 0.014376908540725708, 0.020900560542941093, 0.021333882585167885, 0.022124633193016052, 0.0339093878865242, 0.027340847998857498, 0.015831584110856056, 0.015520481392741203, 0.020661838352680206, 0.012709023430943489, 0.02180413343012333, 0.015250260010361671, 0.01156383752822876, 0.014356753788888454, 0.01628788933157921, 0.018379367887973785, 0.013321303762495518, 0.011523794382810593, 0.011643923819065094];[0.33005109429359436, 0.49722036719322205, 0.5555477738380432, 0.5016579627990723, 0.5462480187416077, 0.699556291103363, 0.6333464980125427, 0.5773299336433411, 0.6034071445465088, 0.810594916343689, 0.7670048475265503, 0.7823631167411804, 0.8545427918434143, 0.7640185356140137, 0.7669820189476013, 0.828919529914856, 0.8088880777359009, 0.8354719877243042, 0.7496387958526611, 0.868071436882019, 0.8683164715766907, 0.690883457660675];[14.875432968139648, 16.87522315979004, 16.700923919677734, 17.11897087097168, 16.82602310180664, 19.085784912109375, 17.785213470458984, 16.060585021972656, 16.4260196685791, 22.028779983520508, 20.981752395629883, 20.752826690673828, 23.593250274658203, 20.265512466430664, 21.176469802856445, 23.004011154174805, 21.916946411132812, 22.559513092041016, 20.505895614624023, 23.937320709228516, 24.175094604492188, 20.076946258544922];[1.2190093994140625, 0.7691801190376282, 0.8006781339645386, 0.7271991968154907, 0.7779435515403748, 0.4623507559299469, 0.6237765550613403, 0.9278799891471863, 0.852998673915863, 0.2347857505083084, 0.2987959086894989, 0.31496861577033997, 0.16376623511314392, 0.3523697853088379, 0.28569531440734863, 0.18756358325481415, 0.24091026186943054, 0.2077774852514267, 0.33339595794677734, 0.15129248797893524, 0.14323189854621887, 0.3680063784122467]
loss;260.9747095108032;4.34957849184672;0h 4m 20.97s;205;0.0265918131917715;170.15248322486875;stDIP/slice_5_8_nbins30/select_by/;select_by=loss;stDIP/slice_5_8_nbins30/select_by/select_by=loss/;;;;;;5;[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500];[0.057600051164627075, 0.042663320899009705, 0.04878033697605133, 0.046838920563459396, 0.09057077765464783, 0.07049394398927689, 0.045983485877513885, 0.04481455311179161, 0.0482122078537941, 0.05134130269289017, 0.06803736090660095, 0.04229596257209778, 0.04122627526521683, 0.05584793537855148, 0.056037623435258865, 0.05725109949707985, 0.03641609475016594, 0.03373520448803902, 0.04773659259080887, 0.030375029891729355, 0.039038825780153275, 0.029922083020210266, 0.03975943848490715, 0.04021380841732025, 0.07104680687189102, 0.043585143983364105];[60.87818908691406, 110.68280267715454, 117.52044916152954, 124.30716371536255, 130.46319675445557, 136.9806501865387, 141.87650442123413, 148.28451538085938, 154.67548489570618, 161.8357651233673, 168.52392768859863, 175.307861328125, 181.8197877407074, 188.55315232276917, 195.1023166179657, 201.5387899875641, 207.57715511322021, 214.6599040031433, 220.87453484535217, 227.45281791687012, 233.44560194015503, 238.70273232460022, 243.41172456741333, 248.15772247314453, 253.9043481349945, 260.97206950187683];;;;
mean_var;341.6289966106415;5.693816610177358;0h 5m 41.63s;340;;262.0077567100525;stDIP/slice_5_8_nbins30/select_by/;select_by=mean_var;stDIP/slice_5_8_nbins30/select_by/select_by=mean_var/;0.0120925474911928;0.011732917279005;0.8661413788795471;24.1309757232666;0.1559820473194122;5;[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460];[0.04788403585553169, 0.04906412959098816, 0.10035806894302368, 0.07777527719736099, 0.049491122364997864, 0.042975153774023056, 0.05230633169412613, 0.050814513117074966, 0.06264857947826385, 0.04298490658402443, 0.0446743443608284, 0.057397253811359406, 0.05139856040477753, 0.05864395946264267, 0.03805918246507645, 0.03320855274796486, 0.04703102260828018, 0.028841791674494743, 0.04010195657610893, 0.02984226867556572, 0.037873774766922, 0.04028027877211571];[121.73363304138184, 130.99048733711243, 140.8283772468567, 150.90501284599304, 160.43541741371155, 170.08288478851318, 179.9843339920044, 189.937819480896, 199.9543662071228, 209.50047540664673, 217.88775253295898, 225.30993103981018, 232.5997772216797, 241.08167600631714, 251.56612253189087, 262.0077567100525, 271.6205506324768, 280.65097284317017, 290.40629386901855, 299.3943884372711, 308.9428527355194, 318.05446672439575];[0.025308798998594284, 0.02889750897884369, 0.026441052556037903, 0.05043833702802658, 0.03152544051408768, 0.03608091175556183, 0.015658676624298096, 0.033158235251903534, 0.02387794479727745, 0.016424598172307014, 0.017564881592988968, 0.020306430757045746, 0.012973129749298096, 0.021440766751766205, 0.017271485179662704, 0.01173291727900505, 0.015175298787653446, 0.016876429319381714, 0.015169000253081322, 0.012728307396173477, 0.01289025042206049, 0.010275254026055336];[0.4499528706073761, 0.38619595766067505, 0.39752694964408875, 0.3142850697040558, 0.5501010417938232, 0.5808634757995605, 0.6629459857940674, 0.5795888304710388, 0.672840416431427, 0.8266213536262512, 0.7357556819915771, 0.7587690949440002, 0.8420249223709106, 0.7887293100357056, 0.8141382336616516, 0.8661413788795471, 0.8020646572113037, 0.8770365118980408, 0.8013728857040405, 0.8884686827659607, 0.9025967121124268, 0.7317628860473633];[15.545162200927734, 14.66240119934082, 15.455022811889648, 12.299254417419434, 16.17205047607422, 16.542680740356445, 19.57356834411621, 16.33800506591797, 18.32274055480957, 22.421844482421875, 20.269607543945312, 20.52284049987793, 23.235017776489258, 20.947601318359375, 21.97146224975586, 24.1309757232666, 21.710988998413086, 23.870361328125, 22.03662109375, 24.936878204345703, 25.415904998779297, 21.28002166748047];[1.1263073682785034, 1.3801714181900024, 1.1499285697937012, 2.3781967163085938, 0.974918007850647, 0.8951689004898071, 0.44546762108802795, 0.9383669495582581, 0.5941540002822876, 0.23120009899139404, 0.37950029969215393, 0.35800471901893616, 0.1917213797569275, 0.3246478736400604, 0.25646400451660156, 0.15598204731941223, 0.2723163366317749, 0.16562886536121368, 0.25264492630958557, 0.12956391274929047, 0.1160329282283783, 0.3007257878780365]
